"","시도명","시군구명","n"
"1","광주광역시","북구",132
"2","경상남도","진주시",115
"3","광주광역시","서구",82
"4","서울특별시","은평구",82
"5","울산광역시","남구",74
"6","경상남도","창원시",67
"7","전라남도","순천시",64
"8","경상남도","양산시",62
"9","인천광역시","서구",62
"10","대구광역시","달서구",56
"11","대구광역시","북구",52
"12","대전광역시","중구",52
"13","전라북도","전주시",52
"14","울산광역시","중구",51
"15","경상북도","포항시",47
"16","경기도","군포시",46
"17","경상남도","김해시",45
"18","서울특별시","관악구",43
"19","충청북도","영동군",43
"20","광주광역시","동구",39
"21","서울특별시","광진구",38
"22","인천광역시","부평구",37
"23","제주특별자치도","서귀포시",35
"24","서울특별시","강서구",34
"25","울산광역시","울주군",34
"26","서울특별시","서울특별시 도봉구",31
"27","대구광역시","중구",30
"28","부산광역시","남구",30
"29","서울특별시","노원구　",27
"30","경기도","시흥시",26
"31","경상남도","거제시",25
"32","서울특별시","영등포구",25
"33","서울특별시","강남구",24
"34","서울특별시","성동구",23
"35","충청남도","천안시",23
"36","전라남도","목포시",22
"37","전라북도","정읍시",22
"38","경상남도","합천군",21
"39","대전광역시","유성구",21
"40","서울특별시","금천구",21
"41","전라북도","군산시",21
"42","부산광역시","부산진구",20
"43","경기도","안산시",19
"44","경기도","의정부시",19
"45","대구광역시","서구",19
"46","부산광역시","사하구",19
"47","경기도","고양시 덕양구",18
"48","대구광역시","동구",18
"49","부산광역시","강서구",18
"50","부산광역시","서구",18
"51","부산광역시","영도구",18
"52","서울특별시","양천구",18
"53","서울특별시","종로구",17
"54","인천광역시","중구",17
"55","전라북도","완주군",17
"56","제주특별자치도","제주시",17
"57","경기도","화성시",16
"58","대전광역시","동구",16
"59","부산광역시","사상구",16
"60","서울특별시","서대문구",16
"61","전라남도","화순군",15
"62","강원도","강릉시",14
"63","경기도","파주시",14
"64","경기도","평택시",14
"65","서울특별시","강북구",14
"66","서울특별시","마포구",14
"67","인천광역시","미추홀구",14
"68","충청남도","당진시",14
"69","경기도","성남시",13
"70","대구광역시","달성군",13
"71","울산광역시","북구",13
"72","경기도","안성시",12
"73","경기도","양평군",12
"74","서울특별시","성북구",12
"75","전라북도","익산시",12
"76","충청남도","청양군",12
"77","경기도","남양주시",11
"78","경기도","단원구",11
"79","경상북도","구미시",11
"80","경상북도","김천시",11
"81","광주광역시","광산구",11
"82","서울특별시","송파구",11
"83","울산광역시","동구",11
"84","인천광역시","연수구",11
"85","전라북도","임실군",11
"86","충청북도","청주시",11
"87","경기도","광주시",10
"88","대구광역시","수성구",10
"89","전라남도","신안군",10
"90","전라북도","고창군",10
"91","충청북도","충청북도 제천시",10
"92","강원도","춘천시",9
"93","경기도","고양시 일산동구",9
"94","서울특별시","구로구",9
"95","충청남도","금산군",9
"96","강원도","평창군",8
"97","경기도","구리시",8
"98","경기도","양주시",8
"99","경기도","영통구",8
"100","경상북도","울진군",8
"101","대전광역시","서구",8
"102","부산광역시","해운대구",8
"103","서울특별시","동작구",8
"104","세종특별자치시","세종특별자치시",8
"105","충청남도","논산시",8
"106","충청남도","보령시",8
"107","충청남도","서산시",8
"108","충청북도","음성군",8
"109","경기도","고양시 일산서구",7
"110","경기도","부천시",7
"111","경기도","의왕시",7
"112","경기도","팔달구",7
"113","광주광역시","남구",7
"114","대구광역시","남구",7
"115","서울특별시","중구",7
"116","전라남도","담양군",7
"117","전라남도","여수시",7
"118","충청남도","아산시",7
"119","경기도","광명시",6
"120","경기도","권선구",6
"121","경기도","안양시 동안구",6
"122","경기도","오산시",6
"123","경기도","포천시",6
"124","경상북도","경주시",6
"125","대전광역시","대덕구",6
"126","부산광역시","부산중구",6
"127","부산광역시","연제구",6
"128","서울특별시","서초구",6
"129","전라남도","함평군",6
"130","충청북도","진천군",6
"131","강원도","삼척시",5
"132","강원도","속초시",5
"133","강원도","영월군",5
"134","강원도","원주시",5
"135","경기도","김포시",5
"136","경기도","여주시",5
"137","경기도","이천시",5
"138","경상남도","통영시",5
"139","경상북도","영덕군",5
"140","경상북도","칠곡군",5
"141","부산광역시","기장군",5
"142","서울특별시","강동구",5
"143","인천광역시","남동구",5
"144","전라북도","전라북도 김제시",5
"145","강원도","인제군",4
"146","강원도","화천군",4
"147","경기도","가평군",4
"148","경기도","동두천시",4
"149","경기도","장안구",4
"150","경상남도","창원시 마산회원구",4
"151","경상북도","문경시",4
"152","경상북도","상주시",4
"153","부산광역시","북구",4
"154","서울특별시","중랑구",4
"155","인천광역시","계양구",4
"156","인천광역시","옹진군",4
"157","전라남도","광양시",4
"158","전라남도","장성군",4
"159","전라북도","부안군",4
"160","충청남도","공주시",4
"161","충청북도","단양군",4
"162","강원도","고성군",3
"163","강원도","태백시",3
"164","경기도","하남시",3
"165","경상남도","고성군",3
"166","경상남도","산청군",3
"167","경상남도","창녕군",3
"168","경상북도","군위군",3
"169","경상북도","영양군",3
"170","부산광역시","동래구",3
"171","전라북도","무주군",3
"172","전라북도","순창군",3
"173","전라북도","전라북도 남원시",3
"174","충청남도","예산군",3
"175","충청남도","태안군",3
"176","충청남도","홍성군",3
"177","강원도","양구군",2
"178","강원도","정선군",2
"179","강원도","홍천군",2
"180","경기도","과천시",2
"181","경기도","수원시",2
"182","경기도","연천군",2
"183","경상남도","거창군",2
"184","경상남도","남해군",2
"185","경상남도","밀양시",2
"186","경상남도","사천시",2
"187","경상남도","의령군",2
"188","경상남도","창원시 마산합포구",2
"189","경상남도","함양군",2
"190","경상북도","경산시",2
"191","경상북도","안동시",2
"192","경상북도","청도군",2
"193","부산광역시","금정구",2
"194","부산광역시","동구",2
"195","부산광역시","수영구",2
"196","인천광역시","강화군",2
"197","전라남도","나주시",2
"198","전라남도","영광군",2
"199","전라남도","영암군",2
"200","전라북도","장수군",2
"201","충청남도","계룡시",2
"202","충청남도","부여군",2
"203","충청남도","서천군",2
"204","충청남도","천안시 동남구",2
"205","충청북도","옥천군",2
"206","충청북도","증평군",2
"207","충청북도","충주시",2
"208","강원도","동해시",1
"209","강원도","양양군",1
"210","강원도","철원군",1
"211","강원도","횡성군",1
"212","경상남도","창원시 성산구",1
"213","경상남도","하동군",1
"214","경상남도","함안군",1
"215","경상북도","고령군",1
"216","경상북도","봉화군",1
"217","경상북도","성주군",1
"218","경상북도","예천군",1
"219","경상북도","의성군",1
"220","경상북도","청송군",1
"221","부산광역시","중구",1
"222","서울특별시","서울시 중구",1
"223","세종특별자치시","-",1
"224","인천광역시","동구",1
"225","전라남도","곡성군",1
"226","전라남도","구례군",1
"227","전라남도","무안군",1
"228","전라남도","보성군",1
"229","전라남도","완도군",1
"230","전라남도","장흥군",1
"231","전라남도","전라남도",1
"232","전라남도","진도군",1
"233","전라남도","해남군",1
"234","전라북도","남원시",1
"235","전라북도","전라북도 진안군",1
"236","전라북도","진안군",1
"237","충청남도","천안시 서북구",1
"238","충청남도","홍성",1
